Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2007-10-05,32.54542922973633,35.424697482052096,26.900123201294626,29.0514868911543,855215656
2007-10-08,30.87933349609375,33.64537091874948,30.685224759991605,33.64537091874948,126671715
2007-10-09,32.98216247558594,33.27332333144522,29.2294103669374,30.895501630729346,116725709
2007-10-10,33.28950119018555,33.96887948189164,32.99834031886197,33.839472943776364,67931378
2007-10-11,37.00989532470703,38.82156901337671,32.99833497774798,38.82156901337671,106320954
2007-10-12,36.76727294921875,38.14220367043771,35.90996408298535,36.233477193860395,99410791
2007-10-15,37.25254440307617,37.75399238175067,36.929031276677506,37.52753143810056,41814972
2007-10-16,41.0538215637207,41.70085217174976,37.04225987667578,37.301068609545496,138614496
2007-10-17,44.25659942626953,45.29183861848792,34.32474421878629,36.88049879057014,204876259
2007-10-18,42.7037353515625,48.349040354809915,40.87588732647553,44.96832691239553,146617799
2007-10-19,42.55817413330078,44.28897068231998,40.43915997757362,41.733212816028534,110266491
2007-10-22,41.99201202392578,43.302238331097136,40.60090305337393,41.70085110987962,72253405
2007-10-23,44.984500885009766,45.38889219637619,43.02724430524036,43.02724430524036,74594921
2007-10-24,44.288970947265625,46.42415902107512,43.787522836607344,45.93888481582278,63055170
2007-10-25,44.19188690185547,45.22713029095661,39.03185262756155,42.78460442814567,34522489
2007-10-26,45.518306732177734,46.2462112556503,43.75515846459537,44.96833267038299,62370025
2007-10-29,46.4403076171875,47.55642934393309,46.03591632313857,46.26237720297652,43657697
2007-10-30,47.47557067871094,48.75344506253978,45.68006995935886,47.07117921776608,79921711
2007-10-31,48.462276458740234,49.52987238031799,47.556441484002285,47.718198042914594,44655368
2007-11-01,47.37850570678711,50.03131497606693,46.990292605771515,49.65927577545422,50632492
2007-11-02,48.23582458496094,48.52698995605722,45.29185378197742,45.66389744772749,32001693
2007-11-05,49.2225341796875,50.306304024365964,47.91230339268425,48.20346871508114,38833135
2007-11-06,49.86956024169922,53.023813193798766,49.190181805199956,50.07984289425368,81880281
2007-11-07,49.14166259765625,51.50330697331868,48.041718701976876,50.791580635139404,33593141
2007-11-08,48.30051803588867,49.61074874527248,47.23292654343725,47.87995275411746,27990521
2007-11-12,49.46516418457031,50.33865129046459,45.566828782844695,46.84470725481463,35153735
2007-11-13,50.64598846435547,51.66505387693669,48.704909816418926,50.30630145613752,43830531
2007-11-14,49.982791900634766,52.24738381751477,49.72397876309187,51.53565317418142,36738579
2007-11-15,50.82392120361328,51.71358221377355,49.86955581936141,50.92097337682353,29242252
2007-11-16,50.468048095703125,51.616517648278226,49.88572198296349,50.59745243589199,18895294
2007-11-19,52.2959098815918,54.1884625744143,51.228318305090724,51.61653142930581,40716718
2007-11-20,51.48713302612305,53.54144252261235,50.85628059270577,52.08563326512156,26342171
2007-11-21,47.47557067871094,52.10180723674885,46.32709629687063,51.794472359187665,26814499
2007-11-22,45.84181594848633,48.882842542272904,43.85221129807327,46.974111777428554,34096185
2007-11-23,48.88284683227539,49.17400776482764,46.13298090415782,48.85049464245235,27664090
2007-11-26,49.271053314208984,50.69450998346952,48.88284025237082,50.69450998346952,20159123
2007-11-27,48.05788040161133,50.11218937819072,47.55643687277575,50.11218937819072,20573198
2007-11-28,47.346160888671875,49.335770344328076,47.02264772683225,49.1093093758691,16435311
2007-11-29,46.06827163696289,48.7857804401813,45.46977160348626,48.526971749561135,25530967
2007-11-30,47.847591400146484,48.13875226159133,46.262378365234376,46.90940445196801,18437721
2007-12-03,48.52698516845703,49.12548536743358,48.05788935057404,48.42992859169096,16851227
2007-12-04,47.8961296081543,49.25488648955349,47.540264292747125,48.85049508293797,14008727
2007-12-05,49.80485153198242,49.98278636708058,47.87995124849518,47.9770034218744,27725290
2007-12-06,48.88284683227539,51.64888227341315,48.25199448847254,50.88862555824569,24104710
2007-12-07,48.67256546020508,49.88573981038399,47.79908256083311,49.19018739386703,11742386
2007-12-10,48.7210807800293,49.319576429492244,48.09022855911895,49.1416460020184,8330010
2007-12-11,48.49462127685547,49.432808298355596,48.251986475367836,49.15782131241758,11685950
2007-12-12,48.462276458740234,48.89902004538898,47.556441484002285,47.87995460182691,16342131
2007-12-13,47.65349197387695,49.17400532889004,47.475561520555715,48.52697911619125,14620172
2007-12-14,47.18440628051758,47.92848921661546,46.94177139899337,47.491745552286226,10991851
2007-12-17,44.337486267089844,47.718200260649056,43.67428171197001,47.45938712160436,19355678
2007-12-18,44.143367767333984,45.6153504418094,42.7684372561261,43.83602860377565,21607783
2007-12-19,43.3345947265625,45.95505198327339,42.96255550093888,45.566834468231896,19526912
2007-12-20,42.897850036621094,44.25660691705124,42.70374128399857,43.90074160189786,17105204
2007-12-24,44.20808029174805,44.90363262464139,43.18901044977422,43.544875760627974,16711519
2007-12-26,45.5506591796875,46.100633244594526,44.450715437801016,44.450715437801016,20930094
2007-12-27,45.87417221069336,47.13587251172646,45.48595470825507,46.488846266281016,44565277
2007-12-28,46.23004150390625,46.4241502718391,45.291849856885435,45.777119582753606,18354518
2007-12-31,46.569725036621094,46.84471207141228,46.00357706590355,46.58590332568387,11982308
2008-01-01,47.427040100097656,47.86378375464772,46.37562230370181,46.812365958251874,16687746
2008-01-02,47.1682243347168,47.78289838552361,46.47267200385836,47.42703307571097,13437280
2008-01-03,49.109310150146484,49.30341892789628,46.31092213369877,46.87707017584424,31815218
2008-01-04,48.85049057006836,50.46805604709772,48.52697747466248,49.821029856285975,28011310
2008-01-07,48.446102142333984,49.562219756495736,47.92848028067048,48.54315432167763,15858063
2008-01-08,46.79618453979492,49.17400682120997,46.230036586502166,48.494628399673175,13282666
2008-01-09,46.052093505859375,47.0549848642491,45.938863057860644,46.844702253923835,13113527
2008-01-10,44.952152252197266,47.5564351358022,44.64481307611888,46.26238283724379,18023003
2008-01-11,45.631534576416016,46.068278142952465,43.8360342224167,45.56683020065977,11629440
2008-01-14,46.32709503173828,46.81236477162003,44.984516295651055,45.71242090547368,10264240
2008-01-15,44.9198112487793,47.26528162376092,44.54777199791953,47.07117724100139,11558334
2008-01-16,43.9977912902832,44.968330610454416,42.881673704842704,44.59629141530758,14834065
2008-01-17,45.17860794067383,46.18149923378999,43.22135143244643,44.15953836293843,16169395
2008-01-18,43.0757942199707,44.85511679327705,42.70375053520928,44.80658630366223,13254156
2008-01-21,35.74820327758789,42.70373433448639,31.138139801726613,42.70373433448639,33202389
2008-01-22,32.15720748901367,33.968881582979066,25.541363363312325,32.221909665091694,58755707
2008-01-23,35.74820327758789,37.1231338353469,32.674829089656,32.674829089656,28425991
2008-01-24,35.82908248901367,38.36866105191106,34.13063881412348,37.67310880549381,29911930
2008-01-25,37.67311096191406,37.85104141144036,36.15259763933074,37.52752831199091,12550722
2008-01-28,38.07749938964844,38.36866027903639,34.130638126616915,37.15548624998083,13601109
2008-01-29,37.446659088134766,38.72453789499938,36.88051102725799,38.17456373783348,7679877
2008-01-30,35.376163482666016,37.689281031042924,34.90706778097148,37.52752449775885,9016102
2008-01-31,33.063045501708984,35.8452588999986,32.67483023993831,35.748204536065046,41538563
2008-02-01,34.211517333984375,34.45415214645339,33.32185635493134,33.62919334526605,9089201
2008-02-04,35.97466278076172,36.395230222943006,34.85854309517702,34.85854309517702,12009385
2008-02-05,37.09078598022461,37.57605564549223,35.262937785302036,36.03936837214476,14593303
2008-02-06,36.76727294921875,37.204016526485546,34.7129660115404,36.07172063842287,12429218
2008-02-07,35.03649139404297,37.511368875447964,34.810032575905346,36.26584208474436,11300078
2008-02-08,34.13063430786133,35.554090798435645,33.49978212816549,35.26292994162465,13514197
