Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.54542541503906,35.424693329871594,26.90012004829192,29.05148348598712,855215656
1,2007-10-08,30.87932777404785,33.6453646841474,30.685219073914716,33.6453646841474,126671715
2,2007-10-09,32.982173919677734,33.273334876563496,29.229420508905978,30.89551235079529,116725709
3,2007-10-10,33.289493560791016,33.96887169679502,32.998332756196625,33.83946518833755,67931378
4,2007-10-11,37.00990295410156,38.8215770162382,32.99834178018052,38.8215770162382,106320954
5,2007-10-12,36.76727294921875,38.14220367043771,35.90996408298535,36.233477193860395,99410791
6,2007-10-15,37.252540588378906,37.753988515704634,36.9290274951083,37.52752759524435,41814972
7,2007-10-16,41.05382537841797,41.70085604656874,37.04226331862107,37.30107207553914,138614496
8,2007-10-17,44.25661087036133,45.29185033027703,34.32475309464953,36.880508327313116,204876259
9,2007-10-18,42.7037467956543,48.349053311776125,40.87589828072584,44.968338963370854,146617799
10,2007-10-19,42.55817413330078,44.28897068231998,40.43915997757362,41.733212816028534,110266491
11,2007-10-22,41.992008209228516,43.30223439737445,40.600899365049735,41.7008473216324,72253405
12,2007-10-23,44.9845085144043,45.38889989435569,43.02725160268316,43.02725160268316,74594921
13,2007-10-24,44.28895568847656,46.42414302665404,43.78750775058117,45.93886898859224,63055170
14,2007-10-25,44.191890716552734,45.22713419501735,39.03185599683841,42.784608121364606,34522489
15,2007-10-26,45.518306732177734,46.2462112556503,43.75515846459537,44.96833267038299,62370025
16,2007-10-29,46.44032669067383,47.556448875821474,46.03593523053746,46.262396203385094,43657697
17,2007-10-30,47.47555923461914,48.75343331041353,45.6800589480765,47.07116787115375,79921711
18,2007-10-31,48.46227264404297,49.52986848158515,47.556437740607606,47.71819428678729,44655368
19,2007-11-01,47.37851333618164,50.03132303264523,46.99030017265182,49.659283772122784,50632492
20,2007-11-02,48.23582458496094,48.52698995605722,45.29185378197742,45.66389744772749,32001693
21,2007-11-05,49.2225227355957,50.30629232830092,47.91229225321719,48.203457507919005,38833135
22,2007-11-06,49.86955642700195,53.02380913782165,49.19017804247073,50.079839063471155,81880281
